Head,Relation,Tail,Context
Rey,referir a,las recientes fiestas,"En una carta escrita por Felipe IV a doña Luisa Enríquez Manrique, el Rey se refería a las recientes fiestas de Carnaval en palacio, relatando la imitación que don Andrés Ferrer había realizado de 'Juan Rana': ""Muy regocijadas Carnestolendas hemos pasado y la gente moza se ha divertido y entretenido."
Rey,referir a,una carta escrita por Felipe IV a doña Luisa Enríquez Manrique,"En una carta escrita por Felipe IV a doña Luisa Enríquez Manrique, el Rey se refería a las recientes fiestas de Carnaval en palacio, relatando la imitación que don Andrés Ferrer había realizado de 'Juan Rana': ""Muy regocijadas Carnestolendas hemos pasado y la gente moza se ha divertido y entretenido."
Amarilis,salir a,la luz,"Harta soledad me hizo que no viésedes querer imitar a Juan Rana a don Andrés Ferrer, que cierto de puro frío nos hacía reír, pero la comedia fue buena, particularmente lo cantado y la representación de las mujeres, que Amarilis [María de Córdoba] salió a la luz y está tan gran farsanta como siempre""."
Rey,referir,esta misma carta,"En esta misma carta, el Rey se refiere también a la presencia del embajador turco en Madrid, presenciando la comedia en palacio, y a su afición a la comedia y al trato con los actores, manifestada por el hecho de que, según contaba el Rey, se hubiese desplazado al Escorial llevándose consigo a 'Juan Rana' y a otro farsante que llamaban Mejía —Antonio Mejía, según la identificación de M. L. Lobato, quien supone que 'Juan Rana' debió de intervenir en la comedia mencionada y quizá estuvo alojado en palacio cuando el Rey le pidió a él y a Mejía que acompañaran al embajador al Escorial— ; en la memoria que presentó Antonio García de Prado  para hacer los autos en las fiestas del Corpus en Madrid se incluye la lista de su compañía, en la que figura Cosme Pérez ; Cosme Pérez 'Juan Rana' figura también entre los miembros de una lista de la compañía de [Antonio de] ""Prado farsante""  que apareció publicada por Cruzada Villaamil junto con varias noticias de representaciones particulares hechas al Rey en 1623 por la compañía de Antonio de Prado  —pero es imposible que esta lista sea de 1623, ya que incluye a José Antonio de Prado, que nació en 1635."
Rey,referir,la presencia,"En esta misma carta, el Rey se refiere también a la presencia del embajador turco en Madrid, presenciando la comedia en palacio, y a su afición a la comedia y al trato con los actores, manifestada por el hecho de que, según contaba el Rey, se hubiese desplazado al Escorial llevándose consigo a 'Juan Rana' y a otro farsante que llamaban Mejía —Antonio Mejía, según la identificación de M. L. Lobato, quien supone que 'Juan Rana' debió de intervenir en la comedia mencionada y quizá estuvo alojado en palacio cuando el Rey le pidió a él y a Mejía que acompañaran al embajador al Escorial— ; en la memoria que presentó Antonio García de Prado  para hacer los autos en las fiestas del Corpus en Madrid se incluye la lista de su compañía, en la que figura Cosme Pérez ; Cosme Pérez 'Juan Rana' figura también entre los miembros de una lista de la compañía de [Antonio de] ""Prado farsante""  que apareció publicada por Cruzada Villaamil junto con varias noticias de representaciones particulares hechas al Rey en 1623 por la compañía de Antonio de Prado  —pero es imposible que esta lista sea de 1623, ya que incluye a José Antonio de Prado, que nació en 1635."
Juan Rana,intervenir en,"'Juan Rana' y a otro farsante que llamaban Mejía —Antonio Mejía, según la identificación de M. L. Lobato, quien supone que 'Juan Rana' debió de intervenir en la comedia mencionada y quizá estuvo alojado en palacio cuando el Rey le pidió a él y a Mejía que acompañaran al embajador al Escorial— ; en la memoria que presentó Antonio García de Prado  para hacer los autos en las fiestas del Corpus en Madrid se incluye la lista de su compañía, en la que figura Cosme Pérez ; Cosme Pérez 'Juan Rana'","En esta misma carta, el Rey se refiere también a la presencia del embajador turco en Madrid, presenciando la comedia en palacio, y a su afición a la comedia y al trato con los actores, manifestada por el hecho de que, según contaba el Rey, se hubiese desplazado al Escorial llevándose consigo a 'Juan Rana' y a otro farsante que llamaban Mejía —Antonio Mejía, según la identificación de M. L. Lobato, quien supone que 'Juan Rana' debió de intervenir en la comedia mencionada y quizá estuvo alojado en palacio cuando el Rey le pidió a él y a Mejía que acompañaran al embajador al Escorial— ; en la memoria que presentó Antonio García de Prado  para hacer los autos en las fiestas del Corpus en Madrid se incluye la lista de su compañía, en la que figura Cosme Pérez ; Cosme Pérez 'Juan Rana' figura también entre los miembros de una lista de la compañía de [Antonio de] ""Prado farsante""  que apareció publicada por Cruzada Villaamil junto con varias noticias de representaciones particulares hechas al Rey en 1623 por la compañía de Antonio de Prado  —pero es imposible que esta lista sea de 1623, ya que incluye a José Antonio de Prado, que nació en 1635."
Dios,guardar,Su Magestad,"Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Dios,guardar,", por su orden escrita en Aranjuez","Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Dios,guardar,", en respuesta","Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Rey,reflejar,"doña Luisa Enríquez Manrique,","Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Rey,reflejar,"la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel","Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Rey,reflejar,; en una carta,"Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Rey,reflejar,; con motivo del parto,"Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Rey Nuestro Señor,sobrevenir estando,Descalzas,"Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Mariana,participar,Cotarelo,"Consta una comunicación, fechada en el real Sitio del Buen Retiro el 26 de abril, del Duque de Nájera al grefier de la Reina Simón de Alcántara, por la que le informa: ""Su Magestad, Dios le guarde, por su orden escrita en Aranjuez, en respuesta a carta mía de 24 de este, es servido de hacer merced a Juan Rana de una ración ordinaria, que ha de gozar por la casa de la Reina [Mariana de Austria], nuestra Señora, en consideración de lo que la hace reír, y en esta conformidad se le apuntará en los libros para que se le acuda con ella desde la hecha de esta"" ; en una carta de Felipe IV, fechada en Madrid el 6 de junio de este año, a doña Luisa Enríquez Manrique, el Rey reflejaba la expectativa generada en palacio ante la próxima representación de los autos del Corpus, que iban a permitir ""ver a 'Juan Rana' en los autos, que dicen son muy buenos y que tiene buen papel"" ; con motivo del parto del primer hijo de la reina Mariana de Austria, la infanta Margarita, y también con motivo del cumpleaños de la Reina y de su recuperación del ""accidente que le sobrevino estando el Rey Nuestro Señor en las Descalzas, y con su presencia volvió del desmayo"", se representó en palacio la comedia de Calderón ***Darlo todo y no dar nada***, con una loa de Antonio de Solís, en la que participaron Mariana y Luisa Romero, 'la Borja' [Mariana de Borja], María de Quiñones, María de Prado y Bernarda Ramírez  —según Cotarelo, para esta función se había reunido a las compañías de [Diego] Osorio y [Sebastián de] Prado y, durante esta misma fiesta, se representó el entremés ***El infierno de Juan Rana***, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación —.<br><br"
Cotarelo,referir a,la existencia,"Cotarelo se refiere a la existencia en el Archivo Municipal de Madrid de una carta, fechada el 5 de junio, de Juan González, hijo de José González, consejero y protector de los teatros, a don Francisco Sardeneta y Mendoza, solicitando en nombre de su padre una ayuda de costa de 400 rs."
Cotarelo,inferir de,esta carta,"para Cosme Pérez 'Juan Rana' ""porque necesita della""  —Cotarelo infiere de esta carta que el actor tomó parte en las fiestas del Corpus—.<br><br>"
Felipe IV,dar cuenta,"una carta, fechada en Madrid el 9 de junio de este año,","En una carta, fechada en Madrid el 9 de junio de este año, Felipe IV daba cuenta a doña Luisa Enríquez Manrique de una comedia representada en el Coliseo del Buen Retiro en la segunda quincena de mayo: ""Muy buena ha sido la comedia, y vuestro amigo 'Juan Rana' a cumplido famosamente con sus obligaciones; bien creo que si le hubiérades visto, se atreviera la risa a inquietar la función."
Felipe IV,dar cuenta,una comedia representada en el Coliseo del Buen Retiro en la segunda quincena de mayo,"En una carta, fechada en Madrid el 9 de junio de este año, Felipe IV daba cuenta a doña Luisa Enríquez Manrique de una comedia representada en el Coliseo del Buen Retiro en la segunda quincena de mayo: ""Muy buena ha sido la comedia, y vuestro amigo 'Juan Rana' a cumplido famosamente con sus obligaciones; bien creo que si le hubiérades visto, se atreviera la risa a inquietar la función."
Felipe IV,dar cuenta,doña,"En una carta, fechada en Madrid el 9 de junio de este año, Felipe IV daba cuenta a doña Luisa Enríquez Manrique de una comedia representada en el Coliseo del Buen Retiro en la segunda quincena de mayo: ""Muy buena ha sido la comedia, y vuestro amigo 'Juan Rana' a cumplido famosamente con sus obligaciones; bien creo que si le hubiérades visto, se atreviera la risa a inquietar la función."
Cosme Pérez,representar,el papel,"La gente moza se ha entretenido harto""  —la comedia representada fue ***Andrómeda y Perseo***, de Calderón, en la que Cosme Pérez representó el papel de ""Bato"" —; entre la documentación relativa a las fiestas del Corpus de Madrid consta una lista de los gastos de las fiestas del Corpus de este año, en la que se indica que Cosme Pérez recibió 1.000 rs."
Cosme Pérez,recibir,1.000 rs,"La gente moza se ha entretenido harto""  —la comedia representada fue ***Andrómeda y Perseo***, de Calderón, en la que Cosme Pérez representó el papel de ""Bato"" —; entre la documentación relativa a las fiestas del Corpus de Madrid consta una lista de los gastos de las fiestas del Corpus de este año, en la que se indica que Cosme Pérez recibió 1.000 rs."
Rey,referir a,una carta,"En una carta de Felipe IV a doña Luisa Enríquez Manrique, fechada el 17 de febrero de este año, el Rey se refería a a la participación de Juan Rana en las fiestas de Carnaval de aquel año, donde había divertido con su actuación a la Reina y a la infanta María Teresa ; a este mismo año corresponde la puesta en escena de ***El laberinto del mundo***, de Calderón, único auto sacramental en el que se tiene constancia de que participara Cosme Pérez  y edición del baile ***Los Juan Ranas*** "", en ***Scriptura***, 17 , p. 259); consta un concierto, fechado en Madrid el 29 de junio, por el que Luis López [Sustaete]  se comprometía a participar con su compañía, llevando a ""Cosme Pérez para que haga la graciosidad"", en las fiestas de Nuestra Señora de Agosto de Navalagamella (Madrid), en las que se harían tres comedias, una el día 14 y dos el 15, con bailes y entremeses ; consta un concierto, fechado en Madrid el 3 de julio, por el que la compañía de Luis López Sustaete , ""llevando a Cosme Pérez para la graciosidad"", se concertaba con la Cofradía de Nuestra Señora del Rosario de Vicálvaro (Madrid) para participar en las fiestas de Nuestra Señora de Septiembre, en las que se harían dos representaciones de un auto y una comedia con bailes y entremeses .<br><br"
Rey,referir a,a la participación,"En una carta de Felipe IV a doña Luisa Enríquez Manrique, fechada el 17 de febrero de este año, el Rey se refería a a la participación de Juan Rana en las fiestas de Carnaval de aquel año, donde había divertido con su actuación a la Reina y a la infanta María Teresa ; a este mismo año corresponde la puesta en escena de ***El laberinto del mundo***, de Calderón, único auto sacramental en el que se tiene constancia de que participara Cosme Pérez  y edición del baile ***Los Juan Ranas*** "", en ***Scriptura***, 17 , p. 259); consta un concierto, fechado en Madrid el 29 de junio, por el que Luis López [Sustaete]  se comprometía a participar con su compañía, llevando a ""Cosme Pérez para que haga la graciosidad"", en las fiestas de Nuestra Señora de Agosto de Navalagamella (Madrid), en las que se harían tres comedias, una el día 14 y dos el 15, con bailes y entremeses ; consta un concierto, fechado en Madrid el 3 de julio, por el que la compañía de Luis López Sustaete , ""llevando a Cosme Pérez para la graciosidad"", se concertaba con la Cofradía de Nuestra Señora del Rosario de Vicálvaro (Madrid) para participar en las fiestas de Nuestra Señora de Septiembre, en las que se harían dos representaciones de un auto y una comedia con bailes y entremeses .<br><br"
Cosme Pérez,participar,Scriptura,"En una carta de Felipe IV a doña Luisa Enríquez Manrique, fechada el 17 de febrero de este año, el Rey se refería a a la participación de Juan Rana en las fiestas de Carnaval de aquel año, donde había divertido con su actuación a la Reina y a la infanta María Teresa ; a este mismo año corresponde la puesta en escena de ***El laberinto del mundo***, de Calderón, único auto sacramental en el que se tiene constancia de que participara Cosme Pérez  y edición del baile ***Los Juan Ranas*** "", en ***Scriptura***, 17 , p. 259); consta un concierto, fechado en Madrid el 29 de junio, por el que Luis López [Sustaete]  se comprometía a participar con su compañía, llevando a ""Cosme Pérez para que haga la graciosidad"", en las fiestas de Nuestra Señora de Agosto de Navalagamella (Madrid), en las que se harían tres comedias, una el día 14 y dos el 15, con bailes y entremeses ; consta un concierto, fechado en Madrid el 3 de julio, por el que la compañía de Luis López Sustaete , ""llevando a Cosme Pérez para la graciosidad"", se concertaba con la Cofradía de Nuestra Señora del Rosario de Vicálvaro (Madrid) para participar en las fiestas de Nuestra Señora de Septiembre, en las que se harían dos representaciones de un auto y una comedia con bailes y entremeses .<br><br"
Juan Ranas,participar,Scriptura,"En una carta de Felipe IV a doña Luisa Enríquez Manrique, fechada el 17 de febrero de este año, el Rey se refería a a la participación de Juan Rana en las fiestas de Carnaval de aquel año, donde había divertido con su actuación a la Reina y a la infanta María Teresa ; a este mismo año corresponde la puesta en escena de ***El laberinto del mundo***, de Calderón, único auto sacramental en el que se tiene constancia de que participara Cosme Pérez  y edición del baile ***Los Juan Ranas*** "", en ***Scriptura***, 17 , p. 259); consta un concierto, fechado en Madrid el 29 de junio, por el que Luis López [Sustaete]  se comprometía a participar con su compañía, llevando a ""Cosme Pérez para que haga la graciosidad"", en las fiestas de Nuestra Señora de Agosto de Navalagamella (Madrid), en las que se harían tres comedias, una el día 14 y dos el 15, con bailes y entremeses ; consta un concierto, fechado en Madrid el 3 de julio, por el que la compañía de Luis López Sustaete , ""llevando a Cosme Pérez para la graciosidad"", se concertaba con la Cofradía de Nuestra Señora del Rosario de Vicálvaro (Madrid) para participar en las fiestas de Nuestra Señora de Septiembre, en las que se harían dos representaciones de un auto y una comedia con bailes y entremeses .<br><br"
Luis López,comprometer,""", en las fiestas","En una carta de Felipe IV a doña Luisa Enríquez Manrique, fechada el 17 de febrero de este año, el Rey se refería a a la participación de Juan Rana en las fiestas de Carnaval de aquel año, donde había divertido con su actuación a la Reina y a la infanta María Teresa ; a este mismo año corresponde la puesta en escena de ***El laberinto del mundo***, de Calderón, único auto sacramental en el que se tiene constancia de que participara Cosme Pérez  y edición del baile ***Los Juan Ranas*** "", en ***Scriptura***, 17 , p. 259); consta un concierto, fechado en Madrid el 29 de junio, por el que Luis López [Sustaete]  se comprometía a participar con su compañía, llevando a ""Cosme Pérez para que haga la graciosidad"", en las fiestas de Nuestra Señora de Agosto de Navalagamella (Madrid), en las que se harían tres comedias, una el día 14 y dos el 15, con bailes y entremeses ; consta un concierto, fechado en Madrid el 3 de julio, por el que la compañía de Luis López Sustaete , ""llevando a Cosme Pérez para la graciosidad"", se concertaba con la Cofradía de Nuestra Señora del Rosario de Vicálvaro (Madrid) para participar en las fiestas de Nuestra Señora de Septiembre, en las que se harían dos representaciones de un auto y una comedia con bailes y entremeses .<br><br"
Juan Rana,intervenir en,", junto con los actores","Una actriz llamada Bernarda, identificada por Rennert con Bernarda Manuela y por Lobato con Bernarda Ramírez, intervino junto con Cosme [Pérez] y Francisca de Castro en la representación del sainete ***Las fiestas bacanales***, escrito por Antonio de Solís para la versión palaciega de su comedia ***Eurídice y Orfeo***, que se representó el 6 de febrero de 1655 —la comedia se había representado en Pamplona hacia 1643 con motivo del nacimiento de un hijo del Conde de Oropesa y fue refundida y convertida en zarzuela por el mismo Solís para ser representada en Palacio, y fue para esta ocasión, según afirma Lobato, que se escribió el sainete que la acompañó— ; el 7 de febrero, domingo de Carnaval, Juan Rana intervino en la loa de Antonio de Solís para la comedia ***Las amazonas***, representada ante Su Majestad, junto con los actores Mateo de Godoy, María de Quiñones, 'la Borja' [Mariana de Borja], Luisa y Mariana Romero y Bernarda [Ramírez] —según apunta M. L. Lobato, la comedia se repitió en Carabanchel de Arriba en el mes de junio, con el autor Diego de Osorio al frente del grupo de representantes: pero esta representación en Carabanchel de Arriba tuvo lugar en 1656, y aunque la compañía que se hizo cargo fue la de Diego Osorio , no sabemos si participaron los mismos actores— ."
